Age,MOut,FOut,MIn,FIn
0,0.043981867,0.041546317,0.046166771,0.044211997
5,0.034838974,0.033867908,0.036605884,0.034717373
10,0.02989352,0.028929214,0.031392363,0.029255363
15,0.04078253,0.036627899,0.035779958,0.032007668
20,0.072295997,0.05617089,0.078389795,0.061651146
25,0.065500786,0.047890916,0.075344038,0.058205441
30,0.051763916,0.038423583,0.056231734,0.042228822
35,0.042517382,0.03108088,0.044600111,0.032717635
40,0.037957201,0.027153807,0.039287194,0.027134929
45,0.033730472,0.024794859,0.034360023,0.024008709
50,0.03009179,0.023848577,0.026931405,0.020286116
55,0.024945814,0.02099621,0.019933499,0.015247719
60,0.01898874,0.015715051,0.012057602,0.009660282
65,0.010913792,0.009224003,0.006432299,0.005596905
70,0.005999883,0.005240602,0.003814887,0.003677628
75,0.003197084,0.003309737,0.00221273,0.002856433
80,0.001915096,0.002487372,0.001467264,0.002295559
85,0.000912487,0.001369857,0.000750199,0.00149093
90,0.000461876,0.000633108,0.000326585,0.000665002
95,0,0,0,0
100,0,0,0,0
